Postcode-4,Totaal,Man,Vrouw,tot 15 jaar,15 tot 25 jaar,25 tot 45 jaar,45 tot 65 jaar,65 jaar en ouder,"gedurende
2019",Nederlandse achtergond,Westerse migratie achtergrond,Niet-westerse migratie achtergrond,Totaal,Eenpersoons,"Meerpersoons
zonder kinderen",Eenouder,Tweeouder,Huishoudgrootte,Totaal,voor 1945,1945 tot 1965,1965 tot 1975,1975 tot 1985,1985 tot 1995,1995 tot 2005,2005 tot 2015,2015 en later,Meergezins,Koopwoning,Huurwoning,Huurcoporatie,Niet bewoond,"WOZ-waarde
woning","Gas
verbruik","Elektra 
verbruik","Mediaan 
huishoudinkomen",lage inkomens,hoge inkomens,"Personen met WW, Bijstand en/of AO uitkering
Beneden AOW-leeftijd","Supermarkt, 
dichtstbijzijnde","Supermarkt, aantal
binnen 1 km","Supermarkt, aantal
binnen 3 km","Supermarkt, aantal
binnen 5 km","Dagelijkse levensmiddelen,
dichtstbijzijnde","Dagelijkse levensmiddelen,
aantal binnen 1 km","Dagelijkse levensmiddelen,
aantal binnen 3 km","Dagelijkse levensmiddelen,
aantal binnen 5 km","Warenhuis,
dichtstbijzijnde","Warenhuis,
aantal 
binnen 5 km","Warenhuis,
aantal 
binnen 10 km","Warenhuis,
aantal 
binnen 20 km","Cafe, 
dichtstbijzijnde","Cafe, 
aantal
binnen 1 km","Cafe, 
aantal
binnen 3 km","Cafe, 
aantal
binnen 5 km","Cafetaria, 
dichtstbijzijnde","Cafetaria, 
aantal
binnen 1 km","Cafetaria, 
aantal
binnen 3 km","Cafetaria, 
aantal
binnen 5 km","Hotel, 
dichtstbijzijnde","Hotel,
aantal
binnen 5 km","Hotel,
aantal
binnen 10 km","Hotel,
aantal
binnen 20 km","Restaurant, 
dichtsbijzijnde","Restaurant, 
aantal
binnen 1 km","Restaurant, 
aantal
binnen 3 km","Restaurant, 
aantal
binnen 5 km","Buitenschoolse 
opvang, 
dichtsbijzijnde","Buitenschoolse  
opvang,
aantal 
binnen 1 km","Buitenschoolse  
opvang,
aantal 
binnen 3 km","Buitenschoolse  
opvang,
aantal 
binnen 5 km","Kinderdagverblijf, 
dichtstbijzijnde","Kinderdagverblijf, 
aantal
binnen 1 km","Kinderdagverblijf, 
aantal
binnen 3 km","Kinderdagverblijf, 
aantal
binnen 5 km","Brandweerkazerne, 
dichtsbijzijnde","Oprit, 
dichtstbijzijnde","Overstapstation trein, 
dichtstbijzijnde","Treinstation, 
dichtstbijzijnde","Attractie, 
dichtstbijzijnde","Attractie, 
aantal
binnen 10 km","Attractie, 
aantal
binnen 20 km","Attractie, 
aantal
binnen 50 km","Bioscoop, 
dichtstbijzijnde","Bioscoop, 
aantal
binnen 5 km","Bioscoop, 
aantal
binnen 10 km","Bioscoop, 
aantal
binnen 20 km","Musea, 
dichtstbijzijnde","Musea, 
aantal
binnen 5 km","Musea, 
aantal
binnen 10 km","Musea, 
aantal
binnen 20 km","Podiumkunsten, 
dichtstbijzijnde","Podiumkunsten, 
aantal
binnen 5 km","Podiumkunsten, 
aantal
binnen 10 km","Podiumkunsten, 
aantal
binnen 20 km","Bibliotheek, 
dichtstbijzijnde","IJsbaan, 
dichtstbijzijnde","Poppodium, 
dichtstbijzijnde","Sauna, 
dichtstbijzijnde","Zonnenbank, 
dichtstbijzijnde","Zwembad, 
dichtstbijzijnde","Basis onderwijs, 
dichtstbijzijnde","Basis onderwijs, 
aantal
binnen 1 km","Basis onderwijs, 
aantal
binnen 3 km","Basis onderwijs, 
aantal
binnen 5 km","HAVO/VWO, 
dichtstbijzijnde","HAVO/VWO, 
aantal
binnen 3 km","HAVO/VWO, 
aantal
binnen 5 km","HAVO/VWO, 
aantal
binnen 10 km","VMBO, 
dichtstbijzijnde","VMBO, 
aantal
binnen 3 km","VMBO, 
aantal
binnen 5 km","VMBO, 
aantal
binnen 10 km","Voortgezet onderwijs, 
dichtstbijzijnde","Voortgezet onderwijs, 
aantal
binnen 3 km","Voortgezet onderwijs, 
aantal
binnen 5 km","Voortgezet onderwijs, 
aantal
binnen 10 km","Huisartspraktijk, 
dichtstbijzijnde","Huisartspraktijk, 
aantal
binnen 1 km","Huisartspraktijk, 
aantal
binnen 3 km","Huisartspraktijk, 
aantal
binnen 5 km","Ziekenhuis exclusief polikliniek, 
dichtstbijzijnde","Ziekenhuis exclusief polikliniek, 
aantal
binnen 5 km","Ziekenhuis exclusief polikliniek, 
aantal
binnen 10 km","Ziekenhuis exclusief polikliniek, 
aantal
binnen 20 km","Ziekenhuis inclusief polikliniek, 
dichtstbijzijnde","Ziekenhuis inclusief polikliniek, 
aantal 
binnen 5 km","Ziekenhuis inclusief polikliniek, 
aantal 
binnen 10 km","Ziekenhuis inclusief polikliniek, 
aantal 
binnen 20 km","Apotheek, 
dichtsbijzijnde","Huisartsenpost,
dichtstbijzijnde",,city
1011,9670,5020,4655,765,1095,3275,2835,1700,70,60,30,20,6435,4245,1315,330,495,1.5,6190,3620,145,120,840,390,630,395,55,5995,30,70,2465,685,471,870,1950,40-60 midden,51,19,760,0.3,7.4,76.0,144.6,0.2,71.2,593.9,984.4,0.5,13.0,23.2,40.5,0.1,121.3,534.7,707.5,0.2,117.3,668.4,937.9,0.2,370.5,427.5,497.0,0.1,186.9,1243.0,1783.4,0.3,4.4,59.7,162.3,0.3,8.4,125.2,341.2,0.9,4.4,1.2,1.2,0.6,6.0,12.0,57.6,1.0,12.0,13.0,18.2,0.4,43.1,45.8,63.5,0.5,37.0,49.7,60.5,1.3,4.6,2.2,0.9,1.6,2.1,0.4,2.6,33.4,98.5,1.6,10.0,27.2,46.0,1.7,9.2,28.2,54.0,1.6,13.7,46.5,76.0,0.4,4.7,68.3,144.1,2.3,1.2,5.1,9.8,1.5,2.2,7.1,15.1,0.5,2.3,6995,1
1012,8420,4630,3785,445,1165,4370,1715,715,55,50,40,20,5960,4095,1330,185,265,1.4,5800,4770,20,70,110,480,225,110,20,5495,20,80,720,1115,428,980,2000,40-60 midden,54,14,420,0.3,8.3,73.5,147.1,0.1,147.5,599.6,992.9,0.4,13.0,23.1,43.7,0.0,188.2,557.8,709.6,0.0,224.4,681.8,947.2,0.1,374.5,427.2,501.9,0.0,321.6,1296.0,1796.3,0.6,2.6,68.2,164.2,0.4,5.5,144.0,352.9,1.4,4.0,0.8,0.8,1.2,6.0,12.0,58.1,0.9,11.5,13.1,19.0,0.3,42.5,46.4,65.0,0.4,37.3,50.5,62.8,1.3,5.3,1.7,0.3,0.9,1.7,0.6,1.7,34.8,100.9,1.2,9.6,27.4,46.0,1.2,9.8,26.7,54.0,1.1,13.3,44.3,76.0,0.3,8.2,63.7,144.4,2.9,2.0,5.0,10.1,0.8,3.0,7.0,15.3,0.4,2.9,8458,1
1013,21335,10620,10715,2555,1835,7780,6090,3080,235,50,20,20,12630,7485,2595,955,1485,1.7,12340,6970,75,120,1620,1475,460,1285,335,12180,30,70,6020,875,410,780,1860,40-60 midden,52,17,2485,0.4,4.5,35.6,112.0,0.2,42.8,358.7,817.4,0.9,11.5,22.9,43.6,0.3,25.8,351.2,656.2,0.2,37.1,418.5,833.1,0.6,354.5,423.7,500.7,0.2,66.8,732.4,1552.4,0.3,7.4,38.0,126.1,0.3,8.8,75.2,251.0,2.0,2.8,1.7,1.7,3.1,5.1,12.2,57.4,0.9,11.5,14.1,19.0,0.8,42.2,45.4,64.2,0.6,36.6,46.8,63.0,0.8,6.9,2.9,1.7,0.8,1.5,0.4,3.1,20.0,76.8,0.7,4.3,19.1,44.7,1.0,4.6,19.4,53.3,0.7,6.7,30.4,76.1,0.3,4.9,37.2,111.3,4.1,2.5,5.3,11.0,2.4,3.5,7.3,16.4,0.6,4.1,6378,1
1014,1745,935,810,305,110,890,365,75,50,60,20,10,890,400,255,35,195,1.9,925,20,5,5,5,20,185,250,430,815,40,60,80,175,-99997,280,2130,60-100 boven midden tot hoog,27,41,145,0.7,2.1,22.0,81.8,0.7,9.8,182.8,643.4,2.0,9.4,21.8,44.2,0.8,4.9,127.3,545.6,0.6,9.8,167.4,669.4,0.8,288.1,421.5,497.1,0.6,13.2,284.6,1214.9,0.4,3.0,30.2,94.2,0.4,5.0,57.5,186.0,2.3,1.9,2.4,2.4,3.5,5.2,12.7,55.6,1.8,9.3,14.0,19.0,1.5,32.4,45.6,65.2,0.8,28.7,46.0,63.1,1.1,8.4,3.7,3.0,1.5,2.2,0.5,2.6,17.1,58.1,1.1,4.2,11.0,43.8,1.6,5.2,12.9,51.6,0.9,6.8,19.1,75.1,0.9,1.6,24.7,81.1,3.8,1.2,5.7,11.3,3.1,2.2,7.1,16.2,1.0,3.8,2901,1
1015,14885,7590,7295,1280,1560,5300,4280,2465,125,60,30,10,9820,6435,1950,490,860,1.5,9895,7290,110,235,760,1075,335,85,5,9415,30,70,3375,1200,472,960,1880,40-60 midden,51,20,1230,0.3,9.8,59.6,143.9,0.1,113.8,561.0,976.1,0.9,12.7,23.9,45.0,0.1,79.2,533.0,708.6,0.1,96.3,620.8,938.0,0.3,377.8,426.5,506.3,0.1,186.3,1152.9,1773.1,0.3,8.0,64.6,147.8,0.3,15.9,125.9,329.4,0.9,3.1,1.3,1.3,2.3,5.7,12.8,58.8,0.9,11.0,13.9,19.0,0.3,42.3,46.9,65.7,0.4,39.3,51.0,63.0,1.1,6.4,1.7,0.8,0.5,0.6,0.4,3.5,33.6,95.4,0.6,6.4,27.5,45.6,0.6,6.3,24.0,54.7,0.6,9.3,40.9,76.7,0.2,11.5,58.9,137.1,3.6,2.2,5.0,11.0,1.3,3.2,7.0,16.0,0.4,3.6,11009,1
1016,10915,5650,5265,795,1105,4250,2940,1825,90,60,30,10,7285,4790,1555,325,535,1.5,7575,5740,55,35,385,885,180,115,175,7215,30,70,1270,1270,535,1000,2010,40-60 midden,48,22,730,0.3,12.3,76.2,151.7,0.1,120.0,674.8,1011.1,1.0,13.6,23.1,44.8,0.1,117.2,601.5,712.3,0.1,137.3,717.6,969.8,0.2,384.1,430.2,505.0,0.1,263.5,1378.6,1815.8,0.4,5.6,80.8,165.8,0.2,15.4,179.8,356.5,0.7,3.1,1.7,1.7,1.9,6.0,12.2,58.8,0.8,11.0,13.1,19.0,0.4,41.2,47.3,66.0,0.3,37.3,51.2,63.0,1.2,6.2,0.8,0.7,0.5,1.0,0.4,3.7,43.8,101.5,1.0,9.9,29.4,46.0,1.1,10.3,26.9,53.4,0.6,15.0,43.2,76.0,0.3,13.7,74.6,142.3,3.3,2.1,5.2,11.0,0.8,3.1,7.2,15.9,0.4,3.3,11324,1
1017,12640,6640,6000,1135,1585,5095,3105,1720,100,60,30,10,8055,5040,1810,320,785,1.6,8065,6410,160,105,345,500,395,150,-99997,7280,40,60,660,1540,643,1110,2290,60-80 boven midden,40,28,545,0.3,11.1,92.4,152.6,0.1,93.9,695.1,1014.8,0.9,14.9,23.6,39.8,0.1,107.9,576.0,708.1,0.1,111.5,720.2,974.0,0.1,378.4,431.8,499.7,0.1,258.8,1423.8,1824.5,0.4,5.4,74.5,175.4,0.3,10.7,181.9,366.7,1.3,3.1,2.3,2.2,1.4,6.0,11.5,58.5,0.6,11.1,13.0,18.4,0.4,42.2,48.0,64.0,0.5,36.6,51.0,61.5,1.5,4.9,0.8,0.9,0.7,1.1,0.5,2.8,45.7,102.1,0.8,18.0,28.9,47.4,1.3,13.9,27.5,54.5,0.8,24.2,44.4,77.4,0.3,7.1,82.7,144.3,2.2,2.2,6.6,9.9,1.3,3.2,8.6,13.9,0.3,2.2,9364,1
1018,20920,10695,10225,2120,2590,7215,5915,3080,190,60,20,20,12500,7660,2575,775,1390,1.6,11510,5145,145,200,1390,3020,980,405,230,11285,30,70,4830,830,431,870,1920,40-60 midden,49,20,2325,0.4,6.1,64.1,127.0,0.3,17.9,443.2,877.5,1.4,12.2,22.9,34.8,0.3,19.7,399.7,651.0,0.3,24.1,505.5,864.1,0.4,357.2,427.2,482.7,0.2,44.6,890.7,1652.7,0.3,5.5,53.9,138.7,0.4,8.9,107.7,284.3,1.2,4.0,2.3,1.7,1.1,6.1,11.5,56.9,1.2,11.5,13.0,17.3,0.6,42.8,45.1,58.8,1.0,33.6,48.4,57.0,1.6,3.6,2.9,1.8,1.2,2.1,0.5,2.2,33.0,80.6,1.3,8.3,24.3,46.4,1.3,9.4,25.0,53.5,1.3,13.9,40.3,75.5,0.5,4.3,60.6,125.1,1.7,1.0,5.4,9.0,1.7,2.0,7.4,13.4,0.6,1.7,6899,1
1019,18910,9520,9385,2805,1955,5850,6530,1770,220,60,20,20,9590,4150,2545,915,1910,2.0,9170,495,20,-99997,-99997,2385,4895,800,570,8435,40,60,3270,455,482,410,2270,60-80 boven midden,32,31,1530,0.8,2.3,29.2,80.4,0.5,8.8,134.2,583.1,2.8,9.7,20.4,32.4,0.8,2.7,97.6,493.8,0.3,7.8,137.3,643.8,0.8,266.9,416.4,470.6,0.3,10.5,217.5,1148.0,0.4,4.1,30.4,84.4,0.4,5.3,51.4,149.3,2.2,3.7,3.4,2.3,2.8,6.0,10.2,53.4,2.9,7.0,12.8,16.9,1.9,36.4,44.0,58.3,1.8,22.2,45.8,55.8,1.6,3.5,4.7,2.0,2.3,3.3,0.5,2.1,18.3,43.9,2.3,2.0,11.5,44.1,2.0,3.7,14.5,49.4,1.9,5.2,20.6,71.4,0.6,2.9,29.6,79.5,3.1,1.0,4.6,9.0,3.1,2.1,6.6,12.0,0.9,3.1,4304,1
1021,7110,3645,3465,1050,810,2515,1885,850,100,40,20,50,3855,2115,700,435,555,1.8,3600,1645,50,-99997,1010,645,-99997,130,120,3520,20,80,2245,160,279,900,1820,20-40 onder midden,62,8,1260,0.3,4.8,12.7,45.5,0.2,20.6,59.4,281.0,2.5,6.2,20.1,36.8,0.3,6.4,20.1,243.8,0.3,9.9,38.5,286.9,0.5,110.5,404.3,477.5,0.2,21.1,63.2,492.0,0.4,3.9,15.5,64.5,0.3,7.6,27.0,96.6,3.4,3.2,4.9,4.9,4.3,4.0,10.1,53.1,0.9,5.0,12.0,17.0,0.9,19.3,44.0,61.0,2.0,13.2,41.9,57.0,1.0,7.6,2.0,0.9,2.9,2.1,0.4,3.6,12.9,40.1,0.6,6.0,8.6,38.1,0.6,6.0,8.6,44.0,0.6,11.0,14.6,66.0,0.4,4.9,13.1,43.0,3.3,1.0,3.1,9.0,3.3,1.0,5.1,14.0,0.5,3.3,2793,1
