Postcode-4,Totaal,Man,Vrouw,tot 15 jaar,15 tot 25 jaar,25 tot 45 jaar,45 tot 65 jaar,65 jaar en ouder,"gedurende
2020",Nederlandse achtergond,Westerse migratie achtergrond,Niet-westerse migratie achtergrond,Totaal,Eenpersoons,"Meerpersoons
zonder kinderen",Eenouder,Tweeouder,Huishoudgrootte,Totaal,voor 1945,1945 tot 1965,1965 tot 1975,1975 tot 1985,1985 tot 1995,1995 tot 2005,2005 tot 2015,2015 en later,Meergezins,Koopwoning,Huurwoning,Huurcoporatie,Niet bewoond,"WOZ-waarde
woning","Gas
verbruik","Elektra 
verbruik","Gemiddeld 
huishoudinkomen",lage inkomens,hoge inkomens,"Personen met WW, Bijstand en/of AO uitkering
Beneden AOW-leeftijd","Supermarkt, 
dichtstbijzijnde","Supermarkt, aantal
binnen 1 km","Supermarkt, aantal
binnen 3 km","Supermarkt, aantal
binnen 5 km","Dagelijkse levensmiddelen,
dichtstbijzijnde","Dagelijkse levensmiddelen,
aantal binnen 1 km","Dagelijkse levensmiddelen,
aantal binnen 3 km","Dagelijkse levensmiddelen,
aantal binnen 5 km","Warenhuis,
dichtstbijzijnde","Warenhuis,
aantal 
binnen 5 km","Warenhuis,
aantal 
binnen 10 km","Warenhuis,
aantal 
binnen 20 km","Cafe, 
dichtstbijzijnde","Cafe, 
aantal
binnen 1 km","Cafe, 
aantal
binnen 3 km","Cafe, 
aantal
binnen 5 km","Cafetaria, 
dichtstbijzijnde","Cafetaria, 
aantal
binnen 1 km","Cafetaria, 
aantal
binnen 3 km","Cafetaria, 
aantal
binnen 5 km","Hotel, 
dichtstbijzijnde","Hotel,
aantal
binnen 5 km","Hotel,
aantal
binnen 10 km","Hotel,
aantal
binnen 20 km","Restaurant, 
dichtsbijzijnde","Restaurant, 
aantal
binnen 1 km","Restaurant, 
aantal
binnen 3 km","Restaurant, 
aantal
binnen 5 km","Buitenschoolse 
opvang, 
dichtsbijzijnde","Buitenschoolse  
opvang,
aantal 
binnen 1 km","Buitenschoolse  
opvang,
aantal 
binnen 3 km","Buitenschoolse  
opvang,
aantal 
binnen 5 km","Kinderdagverblijf, 
dichtstbijzijnde","Kinderdagverblijf, 
aantal
binnen 1 km","Kinderdagverblijf, 
aantal
binnen 3 km","Kinderdagverblijf, 
aantal
binnen 5 km","Brandweerkazerne, 
dichtsbijzijnde","Oprit, 
dichtstbijzijnde","Overstapstation trein, 
dichtstbijzijnde","Treinstation, 
dichtstbijzijnde","Attractie, 
dichtstbijzijnde","Attractie, 
aantal
binnen 10 km","Attractie, 
aantal
binnen 20 km","Attractie, 
aantal
binnen 50 km","Bioscoop, 
dichtstbijzijnde","Bioscoop, 
aantal
binnen 5 km","Bioscoop, 
aantal
binnen 10 km","Bioscoop, 
aantal
binnen 20 km","Musea, 
dichtstbijzijnde","Musea, 
aantal
binnen 5 km","Musea, 
aantal
binnen 10 km","Musea, 
aantal
binnen 20 km","Podiumkunsten, 
dichtstbijzijnde","Podiumkunsten, 
aantal
binnen 5 km","Podiumkunsten, 
aantal
binnen 10 km","Podiumkunsten, 
aantal
binnen 20 km","Bibliotheek, 
dichtstbijzijnde","IJsbaan, 
dichtstbijzijnde","Poppodium, 
dichtstbijzijnde","Sauna, 
dichtstbijzijnde","Zonnenbank, 
dichtstbijzijnde","Zwembad, 
dichtstbijzijnde","Basis onderwijs, 
dichtstbijzijnde","Basis onderwijs, 
aantal
binnen 1 km","Basis onderwijs, 
aantal
binnen 3 km","Basis onderwijs, 
aantal
binnen 5 km","HAVO/VWO, 
dichtstbijzijnde","HAVO/VWO, 
aantal
binnen 3 km","HAVO/VWO, 
aantal
binnen 5 km","HAVO/VWO, 
aantal
binnen 10 km","VMBO, 
dichtstbijzijnde","VMBO, 
aantal
binnen 3 km","VMBO, 
aantal
binnen 5 km","VMBO, 
aantal
binnen 10 km","Voortgezet onderwijs, 
dichtstbijzijnde","Voortgezet onderwijs, 
aantal
binnen 3 km","Voortgezet onderwijs, 
aantal
binnen 5 km","Voortgezet onderwijs, 
aantal
binnen 10 km","Huisartspraktijk, 
dichtstbijzijnde","Huisartspraktijk, 
aantal
binnen 1 km","Huisartspraktijk, 
aantal
binnen 3 km","Huisartspraktijk, 
aantal
binnen 5 km","Ziekenhuis exclusief polikliniek, 
dichtstbijzijnde","Ziekenhuis exclusief polikliniek, 
aantal
binnen 5 km","Ziekenhuis exclusief polikliniek, 
aantal
binnen 10 km","Ziekenhuis exclusief polikliniek, 
aantal
binnen 20 km","Ziekenhuis inclusief polikliniek, 
dichtstbijzijnde","Ziekenhuis inclusief polikliniek, 
aantal 
binnen 5 km","Ziekenhuis inclusief polikliniek, 
aantal 
binnen 10 km","Ziekenhuis inclusief polikliniek, 
aantal 
binnen 20 km","Apotheek, 
dichtsbijzijnde","Huisartsenpost,
dichtstbijzijnde",,city
1011,9705,5065,4645,760,1095,3310,2755,1780,80,60,30,20,6405,4165,1355,335,495,1.5,6220,3605,145,160,840,390,630,395,55,6025,30,70,2460,675,497,820,1960,35.2,50.9,18.0,715,0.3,9.2,81.6,153.3,0.2,70.9,602.6,974.2,0.5,14.0,25.1,42.1,0.1,124.2,538.2,698.2,0.2,118.8,675.3,960.2,0.2,379.0,439.8,512.7,0.1,193.0,1286.1,1845.5,0.3,4.3,57.4,164.1,0.3,8.2,119.5,329.9,0.9,4.4,1.1,1.1,0.6,6.0,13.0,57.6,1.0,12.0,13.0,18.2,0.4,44.0,47.8,66.2,0.5,37.1,50.7,61.5,1.3,4.6,2.2,0.9,1.8,2.1,0.4,2.6,33.0,98.6,1.6,11.0,29.5,48.0,1.7,9.0,29.2,55.0,1.6,13.6,46.7,76.0,0.4,4.6,59.7,130.9,2.1,1.2,5.2,9.8,1.5,2.2,6.2,14.1,0.5,2.1,7039,1
1012,8600,4720,3880,410,1305,4405,1720,755,60,50,40,20,6145,4240,1400,180,250,1.4,5930,4855,20,70,110,495,225,110,45,5625,20,80,715,1130,464,910,1920,30.6,56.3,13.4,420,0.2,10.7,78.7,155.4,0.1,154.5,608.0,983.4,0.3,14.0,25.1,45.6,0.0,194.2,558.1,700.2,0.1,232.1,692.3,970.6,0.1,383.3,439.4,518.0,0.0,327.8,1343.2,1861.2,0.6,2.6,64.9,167.4,0.4,5.8,137.1,340.4,1.4,4.0,0.8,0.8,1.2,6.0,13.0,58.1,0.9,11.5,13.1,19.0,0.3,43.7,48.5,67.8,0.4,37.3,51.5,63.8,1.3,5.3,1.7,0.4,1.3,1.7,0.6,1.7,34.5,101.8,1.1,10.7,29.1,48.0,1.3,9.9,27.1,55.0,1.1,13.4,44.3,76.0,0.3,8.0,56.3,131.2,2.7,2.0,5.0,10.2,0.8,3.0,6.0,14.3,0.4,2.7,8517,1
1013,21395,10710,10690,2490,1765,7890,6075,3180,220,50,20,20,12700,7475,2695,960,1475,1.7,12360,6980,75,120,1615,1480,470,1290,335,12200,30,70,5850,820,464,790,1890,33.2,52.3,17.2,2375,0.4,4.6,37.5,119.3,0.2,44.6,367.8,810.8,0.9,12.6,24.9,45.4,0.3,25.5,351.2,650.5,0.2,33.5,422.8,850.0,0.5,362.1,436.0,516.5,0.1,70.4,757.1,1604.3,0.3,6.7,37.7,123.2,0.3,7.9,70.5,238.7,2.0,2.8,1.8,1.8,3.1,5.1,13.2,57.4,0.9,11.5,14.1,19.0,0.8,43.4,47.4,67.0,0.6,36.5,46.9,64.0,0.8,6.9,2.9,1.8,0.8,1.5,0.4,3.1,19.8,76.7,0.7,5.1,21.1,46.7,1.0,4.7,20.3,54.3,0.7,6.7,30.3,76.1,0.4,3.8,32.4,101.6,4.1,2.6,5.3,11.0,2.5,3.6,6.3,15.4,0.6,4.1,6436,1
1014,2175,1135,1040,435,130,1040,475,100,60,60,20,10,1060,440,295,50,275,2.0,1190,20,5,5,5,20,190,-99997,940,1075,40,60,120,255,706,300,2450,53.9,23.6,46.2,135,0.7,2.1,21.6,85.9,0.7,8.5,185.1,638.1,1.9,10.9,23.8,45.9,0.8,3.9,127.0,545.0,0.6,8.7,165.8,685.7,0.6,294.2,433.3,512.0,0.4,15.4,305.6,1257.1,0.4,2.6,29.4,89.8,0.4,4.0,50.4,170.7,2.4,2.1,2.6,2.6,3.7,5.1,13.3,55.6,1.8,9.4,14.0,19.0,1.4,35.0,47.5,67.9,0.7,29.2,45.8,63.9,1.1,8.3,3.7,3.0,1.5,2.3,0.5,2.5,16.4,57.8,1.1,4.4,12.7,45.8,1.7,5.2,13.6,52.4,0.9,6.6,19.2,74.8,0.6,1.4,21.7,72.6,3.9,1.1,5.6,11.2,3.2,2.1,6.6,15.1,1.0,3.9,2974,1
1015,14865,7535,7330,1205,1625,5290,4235,2510,140,60,30,10,9765,6290,2060,490,845,1.5,9920,7305,110,235,765,1075,335,85,10,9440,30,70,3365,1235,521,890,1900,38.7,51.3,19.0,1160,0.3,10.0,63.6,151.8,0.1,118.6,564.0,965.1,0.8,14.2,25.9,46.8,0.1,81.6,531.0,700.2,0.2,98.0,633.9,957.9,0.3,386.0,438.3,522.9,0.1,193.9,1196.0,1839.7,0.3,8.0,62.5,149.8,0.3,14.4,119.3,315.9,0.9,3.1,1.4,1.4,2.3,5.7,13.9,58.8,0.9,11.0,13.9,19.0,0.3,44.3,48.9,68.5,0.4,39.3,51.4,64.0,1.1,6.4,1.7,0.8,0.5,0.6,0.4,3.5,33.6,96.7,0.6,7.4,29.8,47.6,0.6,6.3,24.9,55.7,0.6,9.3,41.0,76.7,0.2,10.8,52.8,124.6,3.5,2.2,5.0,11.0,1.3,3.2,6.0,15.0,0.4,3.5,11029,1
1016,10980,5675,5305,770,1130,4310,2905,1860,90,50,30,10,7320,4765,1650,310,540,1.5,7590,5740,55,35,385,895,185,115,180,7230,30,70,1275,1200,588,950,2000,47.7,48.0,21.5,690,0.3,12.6,81.6,159.6,0.1,124.9,677.5,1001.9,0.7,15.3,25.1,46.8,0.1,118.8,597.8,702.6,0.1,146.0,734.6,993.7,0.2,392.8,442.7,522.1,0.1,271.9,1426.8,1882.2,0.4,5.0,79.1,169.4,0.2,14.2,173.3,344.1,0.7,3.1,1.8,1.8,1.9,6.0,13.2,58.8,0.8,11.0,13.1,19.0,0.4,43.1,49.3,69.0,0.3,37.3,52.1,64.0,1.2,6.2,0.8,0.6,0.6,1.0,0.4,3.7,43.8,103.0,0.6,10.9,30.5,48.0,1.1,10.3,27.0,54.4,0.6,15.0,43.1,76.0,0.3,11.5,68.0,128.9,3.2,2.1,5.2,11.0,0.8,3.1,6.2,14.9,0.4,3.2,11371,1
1017,12730,6700,6030,1145,1590,5120,3120,1755,105,50,30,10,7945,4810,1935,295,815,1.6,8145,6460,165,105,345,500,395,150,30,7360,40,60,655,1565,688,1060,2230,53.1,39.8,27.7,500,0.3,11.9,97.9,160.5,0.1,92.5,696.5,1007.9,0.9,15.9,25.7,41.8,0.1,108.8,574.8,698.2,0.1,114.7,735.0,998.2,0.1,388.7,444.1,516.4,0.1,262.7,1471.6,1887.9,0.4,4.9,74.0,179.0,0.3,10.1,179.3,354.0,1.3,3.1,2.2,2.2,1.4,6.0,12.5,58.5,0.6,11.1,13.0,18.4,0.4,42.4,50.0,67.0,0.5,36.6,52.0,62.5,1.5,4.9,0.8,0.5,0.6,1.1,0.5,2.8,46.3,102.9,0.8,19.1,29.9,49.4,1.3,13.8,27.5,55.5,0.8,24.2,44.5,77.4,0.3,6.7,73.9,130.0,2.0,2.2,6.6,9.9,1.3,3.2,7.6,12.9,0.3,2.0,9425,1
1018,21110,10830,10280,2075,2625,7270,5860,3280,190,50,20,20,12575,7745,2580,775,1390,1.6,11530,5160,145,200,1390,3020,985,405,230,11305,30,70,4620,820,477,820,1950,39.5,49.1,19.6,2355,0.4,6.2,69.0,134.1,0.3,17.8,444.1,870.5,1.4,13.1,24.8,36.8,0.3,18.9,400.7,644.0,0.3,22.7,510.8,879.6,0.4,365.6,439.7,496.8,0.2,47.1,910.1,1705.2,0.3,5.4,53.9,140.0,0.3,8.5,104.9,274.5,1.2,4.0,2.2,1.7,1.1,6.0,12.5,56.8,1.3,11.5,13.0,17.3,0.6,43.2,47.1,61.6,1.0,33.5,49.4,58.0,1.6,3.5,2.9,1.7,1.2,2.1,0.5,2.2,32.2,80.2,1.3,8.6,25.9,48.4,1.3,9.3,25.5,54.4,1.3,13.8,40.1,75.5,0.5,3.9,53.4,111.0,1.8,1.0,5.4,9.0,1.8,2.0,6.4,12.5,0.5,1.8,6916,1
1019,18980,9585,9395,2680,1995,5840,6520,1940,190,60,20,20,9695,4265,2555,915,1905,2.0,9180,505,20,-99997,-99997,2385,4895,800,570,8445,40,60,2960,385,523,410,2360,40.4,33.2,30.0,1400,0.8,2.8,31.4,87.2,0.6,7.8,134.1,591.4,2.8,10.7,22.4,34.3,0.8,2.9,96.1,494.7,0.4,7.4,137.9,652.7,0.7,272.9,428.5,484.0,0.3,10.8,231.6,1180.4,0.5,4.7,31.0,84.8,0.4,4.6,50.1,144.1,2.1,3.7,3.3,2.2,2.8,6.0,11.1,53.4,2.9,7.0,12.8,16.9,1.9,36.6,46.0,61.3,1.8,22.1,46.8,56.8,1.6,3.5,4.7,2.0,2.3,3.3,0.5,2.0,17.5,43.3,2.3,2.0,12.0,46.1,1.9,3.7,14.6,50.4,1.9,5.2,20.8,71.4,0.6,2.4,26.0,71.3,3.3,1.0,4.6,9.0,3.3,1.9,5.6,11.1,0.9,3.3,4310,1
1021,7040,3605,3435,1020,825,2440,1880,880,80,40,20,50,3850,2165,685,410,550,1.8,3645,1685,50,-99997,1010,645,-99997,130,120,3560,20,80,2265,190,323,850,1850,24.8,64.0,8.2,1205,0.3,4.8,14.0,49.4,0.2,16.8,53.7,278.5,2.5,6.2,22.1,39.0,0.3,7.4,20.9,244.8,0.3,11.0,41.1,281.7,0.4,113.2,415.9,491.5,0.2,20.3,62.4,513.7,0.4,3.8,15.2,63.6,0.4,6.2,25.1,91.1,3.4,3.2,4.8,4.8,4.3,4.0,11.0,53.0,0.9,5.0,12.0,17.0,0.9,20.1,46.0,64.0,2.0,13.2,41.9,58.0,1.0,7.6,2.0,0.9,2.9,2.1,0.4,3.7,12.8,40.1,0.6,7.0,9.6,40.1,0.5,7.0,9.6,45.1,0.5,11.0,14.6,66.1,0.4,4.9,12.4,40.0,3.3,1.0,3.1,9.0,3.3,1.0,4.1,13.0,0.5,3.3,2833,1
