Postcode-4,Totaal,Man,Vrouw,tot 15 jaar,15 tot 25 jaar,25 tot 45 jaar,45 tot 65 jaar,65 jaar en ouder,"gedurende
2021",Nederlandse achtergond,Westerse migratie achtergrond,Niet-westerse migratie achtergrond,Totaal,Eenpersoons,"Meerpersoons
zonder kinderen",Eenouder,Tweeouder,Huishoudgrootte,Totaal,voor 1945,1945 tot 1965,1965 tot 1975,1975 tot 1985,1985 tot 1995,1995 tot 2005,2005 tot 2015,2015 en later,Meergezins,Koopwoning,Huurwoning,Huurcoporatie,Niet bewoond,"WOZ-waarde
woning","Gas
verbruik","Elektra 
verbruik",Gemiddeld inkomen,lage inkomens,hoge inkomens,"Personen met WW, Bijstand en/of AO uitkering
Beneden AOW-leeftijd","Supermarkt, 
dichtstbijzijnde","Supermarkt, aantal
binnen 1 km","Supermarkt, aantal
binnen 3 km","Supermarkt, aantal
binnen 5 km","Dagelijkse levensmiddelen,
dichtstbijzijnde","Dagelijkse levensmiddelen,
aantal binnen 1 km","Dagelijkse levensmiddelen,
aantal binnen 3 km","Dagelijkse levensmiddelen,
aantal binnen 5 km","Warenhuis,
dichtstbijzijnde","Warenhuis,
aantal 
binnen 5 km","Warenhuis,
aantal 
binnen 10 km","Warenhuis,
aantal 
binnen 20 km","Cafe, 
dichtstbijzijnde","Cafe, 
aantal
binnen 1 km","Cafe, 
aantal
binnen 3 km","Cafe, 
aantal
binnen 5 km","Cafetaria, 
dichtstbijzijnde","Cafetaria, 
aantal
binnen 1 km","Cafetaria, 
aantal
binnen 3 km","Cafetaria, 
aantal
binnen 5 km","Hotel, 
dichtstbijzijnde","Hotel,
aantal
binnen 5 km","Hotel,
aantal
binnen 10 km","Hotel,
aantal
binnen 20 km","Restaurant, 
dichtsbijzijnde","Restaurant, 
aantal
binnen 1 km","Restaurant, 
aantal
binnen 3 km","Restaurant, 
aantal
binnen 5 km","Buitenschoolse 
opvang, 
dichtsbijzijnde","Buitenschoolse  
opvang,
aantal 
binnen 1 km","Buitenschoolse  
opvang,
aantal 
binnen 3 km","Buitenschoolse  
opvang,
aantal 
binnen 5 km","Kinderdagverblijf, 
dichtstbijzijnde","Kinderdagverblijf, 
aantal
binnen 1 km","Kinderdagverblijf, 
aantal
binnen 3 km","Kinderdagverblijf, 
aantal
binnen 5 km","Brandweerkazerne, 
dichtsbijzijnde","Oprit, 
dichtstbijzijnde","Overstapstation trein, 
dichtstbijzijnde","Treinstation, 
dichtstbijzijnde","Attractie, 
dichtstbijzijnde","Attractie, 
aantal
binnen 10 km","Attractie, 
aantal
binnen 20 km","Attractie, 
aantal
binnen 50 km","Bioscoop, 
dichtstbijzijnde","Bioscoop, 
aantal
binnen 5 km","Bioscoop, 
aantal
binnen 10 km","Bioscoop, 
aantal
binnen 20 km","Musea, 
dichtstbijzijnde","Musea, 
aantal
binnen 5 km","Musea, 
aantal
binnen 10 km","Musea, 
aantal
binnen 20 km","Podiumkunsten, 
dichtstbijzijnde","Podiumkunsten, 
aantal
binnen 5 km","Podiumkunsten, 
aantal
binnen 10 km","Podiumkunsten, 
aantal
binnen 20 km","Bibliotheek, 
dichtstbijzijnde","IJsbaan, 
dichtstbijzijnde","Poppodium, 
dichtstbijzijnde","Sauna, 
dichtstbijzijnde","Zonnenbank, 
dichtstbijzijnde","Zwembad, 
dichtstbijzijnde","Basis onderwijs, 
dichtstbijzijnde","Basis onderwijs, 
aantal
binnen 1 km","Basis onderwijs, 
aantal
binnen 3 km","Basis onderwijs, 
aantal
binnen 5 km","HAVO/VWO, 
dichtstbijzijnde","HAVO/VWO, 
aantal
binnen 3 km","HAVO/VWO, 
aantal
binnen 5 km","HAVO/VWO, 
aantal
binnen 10 km","VMBO, 
dichtstbijzijnde","VMBO, 
aantal
binnen 3 km","VMBO, 
aantal
binnen 5 km","VMBO, 
aantal
binnen 10 km","Voortgezet onderwijs, 
dichtstbijzijnde","Voortgezet onderwijs, 
aantal
binnen 3 km","Voortgezet onderwijs, 
aantal
binnen 5 km","Voortgezet onderwijs, 
aantal
binnen 10 km","Huisartspraktijk, 
dichtstbijzijnde","Huisartspraktijk, 
aantal
binnen 1 km","Huisartspraktijk, 
aantal
binnen 3 km","Huisartspraktijk, 
aantal
binnen 5 km","Ziekenhuis exclusief polikliniek, 
dichtstbijzijnde","Ziekenhuis exclusief polikliniek, 
aantal
binnen 5 km","Ziekenhuis exclusief polikliniek, 
aantal
binnen 10 km","Ziekenhuis exclusief polikliniek, 
aantal
binnen 20 km","Ziekenhuis inclusief polikliniek, 
dichtstbijzijnde","Ziekenhuis inclusief polikliniek, 
aantal 
binnen 5 km","Ziekenhuis inclusief polikliniek, 
aantal 
binnen 10 km","Ziekenhuis inclusief polikliniek, 
aantal 
binnen 20 km","Apotheek, 
dichtsbijzijnde","Huisartsenpost,
dichtstbijzijnde",,city
1011,9630,5005,4625,745,1125,3225,2680,1855,70,60,30,20,6280,3975,1460,355,495,1.5,6240,3360,145,175,900,575,630,395,60,6045,30,70,2450,700,523,960,2060,38.8,49.4,19.6,1035,0.3,9.1,82.9,158.3,0.2,69.5,580.8,934.4,0.5,11.2,22.1,34.9,0.2,116.0,507.6,652.9,0.2,85.7,552.0,806.1,0.2,371.4,436.6,516.2,0.1,187.6,1330.3,1958.1,0.4,4.2,53.8,152.8,0.3,7.1,106.4,304.8,0.9,4.6,1.2,1.2,0.6,8.3,17.0,66.6,1.0,12.6,14.0,19.2,0.4,44.0,47.8,66.3,0.5,40.9,55.7,67.4,1.2,4.7,2.1,0.9,1.8,2.1,0.4,2.5,30.3,94.7,1.6,11.1,31.1,51.0,1.7,9.0,28.9,57.5,1.6,13.4,46.5,77.5,0.4,4.4,59.0,130.0,2.1,1.2,5.1,9.8,1.5,2.2,6.1,13.7,0.5,2.1,7048,1
1012,8545,4710,3835,370,1405,4250,1750,770,65,50,40,20,6060,4105,1525,185,240,1.4,5945,4875,20,70,145,460,225,110,45,5630,20,80,715,1170,471,1100,2060,33.1,55.1,14.1,1100,0.2,10.9,78.4,158.4,0.1,155.4,577.6,938.5,0.4,11.0,22.6,38.0,0.0,182.4,523.6,651.1,0.1,190.1,564.7,808.5,0.1,374.8,435.5,521.4,0.0,324.1,1373.0,1964.7,0.6,2.4,58.5,153.3,0.5,5.0,122.8,309.9,1.4,4.1,1.1,1.1,1.2,9.0,17.3,67.4,1.0,11.5,14.0,20.8,0.3,42.7,48.2,68.0,0.4,41.0,56.4,69.7,1.3,5.5,1.7,0.4,1.3,1.7,0.6,1.7,31.4,94.8,1.1,9.9,30.4,51.0,1.3,8.7,26.2,57.6,1.1,12.0,42.4,77.7,0.3,7.7,54.9,127.6,2.7,2.0,5.0,10.0,0.8,3.0,6.0,13.3,0.4,2.7,8528,1
1013,21255,10665,10590,2430,1795,7705,6020,3305,235,50,20,30,12675,7485,2810,940,1445,1.6,12440,6830,170,120,1615,1535,470,1290,415,12280,30,70,6000,880,465,910,1950,34.7,52.1,17.4,3175,0.4,4.9,38.3,109.2,0.3,41.0,350.1,730.8,0.9,8.2,20.6,39.6,0.3,23.8,323.2,584.7,0.2,25.1,346.5,681.6,0.5,346.4,426.5,516.9,0.1,75.2,771.2,1612.9,0.4,5.1,29.5,97.8,0.3,7.7,63.7,196.6,2.0,2.9,2.0,2.0,3.1,7.4,17.8,66.2,0.9,10.4,13.2,20.9,0.8,40.3,46.4,67.1,0.6,35.9,50.1,69.6,0.9,7.3,2.9,1.8,0.9,1.5,0.5,3.0,17.4,60.6,0.7,4.8,16.2,48.6,1.1,4.1,14.8,55.6,0.7,6.0,21.1,75.6,0.4,3.7,29.5,86.6,4.3,1.6,5.0,10.6,2.5,2.6,6.0,14.5,0.6,4.3,6468,1
1014,2870,1485,1380,615,145,1280,630,205,95,60,20,10,1330,510,385,50,385,2.1,1345,20,5,5,5,20,190,-99997,1095,1175,40,60,120,185,668,160,2520,60.9,21.5,49.3,200,0.6,2.8,20.5,79.9,0.6,8.2,160.9,577.6,1.9,7.1,19.7,39.7,0.7,4.6,109.1,501.3,0.6,7.9,125.6,560.6,0.7,288.1,423.9,510.3,0.3,17.5,309.3,1274.3,0.3,2.0,22.4,68.9,0.3,3.5,43.7,137.6,2.4,2.1,2.8,2.8,3.8,6.1,17.4,65.3,1.8,9.0,13.1,20.6,1.3,33.9,46.3,67.2,0.7,28.2,48.0,69.3,1.1,8.6,3.9,2.9,1.6,2.3,0.4,2.2,13.5,45.6,1.0,3.6,8.6,47.0,1.7,4.6,9.0,53.5,0.9,5.6,12.1,73.5,0.5,1.4,18.7,61.8,4.6,0.5,4.9,11.0,3.3,1.5,5.9,14.5,1.0,4.6,3072,1
1015,14850,7500,7355,1200,1665,5230,4225,2535,140,60,30,10,9805,6365,2120,480,835,1.5,9930,7295,125,235,765,1070,335,85,15,9440,30,70,3365,1190,535,1050,1970,40.6,51.1,19.7,1840,0.3,9.9,66.3,148.4,0.1,115.3,541.1,896.3,0.9,10.6,20.4,40.3,0.1,74.4,496.0,638.3,0.2,82.8,524.4,791.0,0.2,375.8,430.7,523.9,0.1,203.3,1242.5,1905.9,0.4,6.9,53.7,132.3,0.3,14.3,108.6,279.3,1.0,3.1,1.8,1.8,2.4,8.7,18.8,68.4,0.9,11.0,13.4,21.0,0.3,42.0,47.9,68.6,0.5,39.7,54.4,69.9,1.1,6.7,1.7,0.8,0.5,0.6,0.4,3.4,32.2,85.7,0.6,7.3,28.0,50.5,0.6,5.3,23.1,56.8,0.6,8.3,36.1,76.8,0.2,10.9,52.3,115.0,3.5,2.0,5.0,10.2,1.3,3.0,6.0,14.0,0.4,3.5,11037,1
1016,10920,5670,5250,740,1170,4275,2850,1880,90,50,30,10,7220,4630,1775,285,525,1.5,7605,5760,55,35,395,885,180,115,180,7245,30,70,1265,1220,602,1110,2090,45.5,47.3,22.3,1140,0.3,12.8,83.8,162.8,0.1,121.1,649.9,948.4,1.0,11.8,21.7,38.5,0.1,111.9,554.0,649.0,0.1,130.5,610.0,827.7,0.2,386.0,439.6,522.7,0.1,276.6,1478.8,1990.9,0.4,5.0,70.9,153.9,0.2,13.4,157.5,314.2,0.7,3.1,2.2,2.2,2.0,9.0,18.2,69.0,0.8,11.0,14.0,21.0,0.4,42.0,48.9,69.0,0.3,40.9,56.9,70.0,1.2,6.2,0.8,0.6,0.6,1.0,0.4,3.7,41.4,95.8,0.6,11.4,32.8,51.0,1.1,9.0,28.1,57.4,0.6,13.6,43.0,78.0,0.3,11.4,67.0,125.1,3.1,2.1,5.2,10.0,0.8,3.1,6.2,13.0,0.4,3.1,11395,1
1017,12710,6690,6020,1065,1620,5160,3090,1775,110,50,30,10,7955,4790,2090,290,785,1.6,8165,6485,160,105,345,500,395,150,30,7380,40,60,655,1550,703,1250,2380,56.5,38.1,28.3,930,0.3,11.8,97.8,165.2,0.1,79.1,671.5,963.9,0.9,12.8,22.5,34.9,0.2,102.3,540.7,650.9,0.2,84.8,612.6,831.7,0.1,383.0,442.4,518.1,0.1,263.4,1529.8,2002.4,0.4,4.5,70.0,165.2,0.3,8.7,159.2,325.1,1.3,3.4,2.4,2.3,1.3,8.5,16.6,68.5,0.6,11.1,14.0,19.7,0.4,42.4,50.0,66.9,0.4,40.6,57.0,68.3,1.5,5.0,0.8,1.1,0.6,1.1,0.5,2.7,42.8,98.1,0.8,19.2,31.5,52.5,1.3,13.6,28.1,58.5,0.8,23.9,43.9,79.5,0.3,6.7,73.0,128.7,1.9,2.1,6.6,9.8,1.2,3.1,7.6,12.8,0.3,1.9,9459,1
1018,21195,10825,10370,2020,2610,7330,5830,3405,200,50,20,20,12615,7745,2745,755,1365,1.6,11555,5220,145,200,1430,2940,985,405,230,11340,30,70,4780,800,489,940,2020,37.1,49.0,19.6,2945,0.4,5.6,70.7,138.6,0.3,16.0,433.0,839.6,1.4,10.1,21.7,31.4,0.3,16.9,385.8,608.5,0.3,17.3,413.4,734.4,0.4,358.5,436.2,497.4,0.2,42.3,951.3,1796.6,0.3,5.1,50.1,132.1,0.3,7.6,91.2,252.1,1.2,4.0,2.2,1.7,1.1,7.2,16.4,66.2,1.3,11.6,14.0,18.3,0.6,43.2,47.0,61.7,1.1,37.5,54.4,62.9,1.6,3.7,2.2,1.9,1.2,2.2,0.5,2.1,29.9,76.4,1.2,9.9,26.9,51.4,1.2,9.7,25.6,57.4,1.2,14.1,40.1,77.5,0.5,3.8,52.3,110.4,1.8,1.0,5.4,9.0,1.8,2.0,6.4,12.5,0.5,1.8,6933,1
1019,18820,9500,9320,2555,1905,5790,6470,2100,235,60,20,20,9605,4140,2685,895,1885,2.0,9180,505,20,-99997,-99997,2385,4895,800,570,8450,40,60,3230,405,523,440,2370,43.5,31.8,30.7,1955,0.8,2.5,31.7,90.8,0.6,7.9,131.7,572.9,3.0,7.7,19.3,29.8,0.8,2.9,90.5,473.2,0.4,4.9,109.6,534.9,0.7,270.7,424.1,483.9,0.3,11.2,238.2,1239.4,0.5,3.6,27.8,79.5,0.4,4.5,42.4,128.8,2.2,3.7,2.9,2.2,2.8,6.7,14.2,62.6,2.9,7.1,13.8,17.9,1.9,37.0,46.0,60.8,1.8,26.2,51.4,61.8,1.6,3.6,3.2,2.0,2.3,3.5,0.5,2.0,16.2,40.9,0.8,3.2,12.5,49.2,0.8,4.4,14.5,53.6,0.8,5.8,20.6,73.6,0.6,2.5,25.6,70.6,3.4,1.0,4.6,9.0,3.3,1.9,5.6,11.1,0.9,3.4,4351,1
1021,6895,3535,3360,980,790,2365,1875,890,90,40,20,50,3780,2115,735,405,525,1.8,3645,1690,50,-99997,1010,645,-99997,130,120,3560,20,80,2255,230,321,980,1840,25.8,63.1,8.3,1495,0.3,4.8,14.3,42.3,0.2,15.8,48.3,184.6,2.5,4.3,18.1,35.0,0.3,7.3,20.9,191.9,0.3,8.4,40.9,188.0,0.4,95.6,407.3,492.5,0.2,21.2,68.8,382.1,0.5,3.7,15.7,44.7,0.4,6.1,26.1,61.3,3.4,3.2,4.8,4.8,4.3,3.1,14.1,63.1,0.9,3.5,13.0,18.0,0.9,19.8,45.3,64.0,2.0,10.8,46.9,63.0,1.0,7.9,2.0,0.9,2.9,2.0,0.4,3.6,12.8,32.7,0.6,6.4,7.2,39.7,0.5,7.4,9.2,43.5,0.5,11.4,13.2,63.5,0.4,4.6,12.3,31.1,3.3,1.0,3.1,9.0,3.3,1.1,4.1,13.0,0.5,3.3,2836,1
