Postcode-4,Totaal,Man,Vrouw,tot 15 jaar,15 tot 25 jaar,25 tot 45 jaar,45 tot 65 jaar,65 jaar en ouder,"gedurende
2023",Geboren in Nederland met een Nederlandse herkomst,Geboren in Nederland met een Europese herkomst (excl. Nederland),Geboren in Nederland met herkomst buiten Europa,Geboren buiten Nederland met een Europese herkomst (excl. Nederland),Geboren buiten Nederland met een herkomst buiten Europa,Totaal,Eenpersoons,"Meerpersoons 
zonder kinderen",Eenouder,Tweeouder,Huishoudgrootte,Totaal,voor 1945,1945 tot 1965,1965 tot 1975,1975 tot 1985,1985 tot 1995,1995 tot 2005,2005 tot 2015,2015 en later,Meergezins,Koopwoning,Huurwoning,Huurcoporatie,Niet bewoond,"WOZ-waarde
woning","Gas
verbruik","Elektra 
verbruik","Personen met WW, Bijstand en/of AO uitkering
Beneden AOW-leeftijd","Supermarkt, 
dichtstbijzijnde","Supermarkt, aantal
binnen 1 km","Supermarkt, aantal
binnen 3 km","Supermarkt, aantal
binnen 5 km","Dagelijkse levensmiddelen,
dichtstbijzijnde","Dagelijkse levensmiddelen,
aantal binnen 1 km","Dagelijkse levensmiddelen,
aantal binnen 3 km","Dagelijkse levensmiddelen,
aantal binnen 5 km","Warenhuis,
dichtstbijzijnde","Warenhuis,
aantal 
binnen 5 km","Warenhuis,
aantal 
binnen 10 km","Warenhuis,
aantal 
binnen 20 km","Cafe, 
dichtstbijzijnde","Cafe, 
aantal
binnen 1 km","Cafe, 
aantal
binnen 3 km","Cafe, 
aantal
binnen 5 km","Cafetaria, 
dichtstbijzijnde","Cafetaria, 
aantal
binnen 1 km","Cafetaria, 
aantal
binnen 3 km","Cafetaria, 
aantal
binnen 5 km","Hotel, 
dichtstbijzijnde","Hotel,
aantal
binnen 5 km","Hotel,
aantal
binnen 10 km","Hotel,
aantal
binnen 20 km","Restaurant, 
dichtsbijzijnde","Restaurant, 
aantal
binnen 1 km","Restaurant, 
aantal
binnen 3 km","Restaurant, 
aantal
binnen 5 km","Buitenschoolse 
opvang, 
dichtsbijzijnde","Buitenschoolse  
opvang,
aantal 
binnen 1 km","Buitenschoolse  
opvang,
aantal 
binnen 3 km","Buitenschoolse  
opvang,
aantal 
binnen 5 km","Kinderdagverblijf, 
dichtstbijzijnde","Kinderdagverblijf, 
aantal
binnen 1 km","Kinderdagverblijf, 
aantal
binnen 3 km","Kinderdagverblijf, 
aantal
binnen 5 km","Brandweerkazerne, 
dichtsbijzijnde","Oprit, 
dichtstbijzijnde","Overstapstation trein, 
dichtstbijzijnde","Treinstation, 
dichtstbijzijnde","Attractie, 
dichtstbijzijnde","Attractie, 
aantal
binnen 10 km","Attractie, 
aantal
binnen 20 km","Attractie, 
aantal
binnen 50 km","Bioscoop, 
dichtstbijzijnde","Bioscoop, 
aantal
binnen 5 km","Bioscoop, 
aantal
binnen 10 km","Bioscoop, 
aantal
binnen 20 km","Musea, 
dichtstbijzijnde","Musea, 
aantal
binnen 5 km","Musea, 
aantal
binnen 10 km","Musea, 
aantal
binnen 20 km","Podiumkunsten, 
dichtstbijzijnde","Podiumkunsten, 
aantal
binnen 5 km","Podiumkunsten, 
aantal
binnen 10 km","Podiumkunsten, 
aantal
binnen 20 km","Bibliotheek, 
dichtstbijzijnde","IJsbaan, 
dichtstbijzijnde","Poppodium, 
dichtstbijzijnde","Sauna, 
dichtstbijzijnde","Zonnenbank, 
dichtstbijzijnde","Zwembad, 
dichtstbijzijnde","Basis onderwijs, 
dichtstbijzijnde","Basis onderwijs, 
aantal
binnen 1 km","Basis onderwijs, 
aantal
binnen 3 km","Basis onderwijs, 
aantal
binnen 5 km","HAVO/VWO, 
dichtstbijzijnde","HAVO/VWO, 
aantal
binnen 3 km","HAVO/VWO, 
aantal
binnen 5 km","HAVO/VWO, 
aantal
binnen 10 km","VMBO, 
dichtstbijzijnde","VMBO, 
aantal
binnen 3 km","VMBO, 
aantal
binnen 5 km","VMBO, 
aantal
binnen 10 km","Voortgezet onderwijs, 
dichtstbijzijnde","Voortgezet onderwijs, 
aantal
binnen 3 km","Voortgezet onderwijs, 
aantal
binnen 5 km","Voortgezet onderwijs, 
aantal
binnen 10 km","Huisartspraktijk, 
dichtstbijzijnde","Huisartspraktijk, 
aantal
binnen 1 km","Huisartspraktijk, 
aantal
binnen 3 km","Huisartspraktijk, 
aantal
binnen 5 km","Ziekenhuis exclusief polikliniek, 
dichtstbijzijnde","Ziekenhuis exclusief polikliniek, 
aantal
binnen 5 km","Ziekenhuis exclusief polikliniek, 
aantal
binnen 10 km","Ziekenhuis exclusief polikliniek, 
aantal
binnen 20 km","Ziekenhuis inclusief polikliniek, 
dichtstbijzijnde","Ziekenhuis inclusief polikliniek, 
aantal 
binnen 5 km","Ziekenhuis inclusief polikliniek, 
aantal 
binnen 10 km","Ziekenhuis inclusief polikliniek, 
aantal 
binnen 20 km","Apotheek, 
dichtsbijzijnde","Huisartsenpost,
dichtstbijzijnde",,city
1011,9910,5155,4755,700,1300,3410,2540,1960,60,50,10,10,20,20,6505,4165,1525,330,480,1.5,6265,3380,150,175,905,570,630,395,60,6070,30,70,2445,615,588,670,1790,575,0.5,5.7,67.2,148.5,0.3,36.7,491.9,928.2,1.3,11.4,23.5,34.5,0.2,66.1,449.9,634.0,0.3,42.4,456.9,755.6,0.3,363.9,437.2,506.3,0.2,114.0,1123.7,1906.9,0.5,2.7,36.5,140.0,0.4,4.5,69.6,275.0,2.5,4.8,1.3,1.3,1.5,6.5,12.7,62.1,1.3,12.2,14.0,18.2,0.6,44.2,47.3,62.4,0.6,35.1,49.4,59.3,1.3,4.8,2.5,1.1,2.0,2.4,0.6,1.7,22.3,83.1,2.0,9.0,30.8,54.0,2.0,6.1,26.9,58.1,2.0,9.5,43.2,79.1,0.5,2.8,46.5,120.0,2.6,1.1,5.1,9.4,1.7,2.1,6.1,13.0,0.7,2.6,7150,1
1012,8900,4845,4055,355,1630,4400,1715,805,30,40,0,10,30,20,6320,4250,1640,165,260,1.4,6035,4990,25,55,145,450,220,110,45,5740,20,80,715,1050,548,770,1810,355,0.4,7.0,66.7,153.0,0.1,89.0,527.4,939.9,0.6,11.6,23.2,38.0,0.1,109.5,479.7,637.4,0.1,102.3,482.1,764.6,0.1,366.1,434.6,520.3,0.0,195.6,1224.5,1918.0,0.9,1.1,41.8,140.1,0.6,2.8,86.5,284.1,1.8,4.2,1.2,1.2,2.4,7.8,12.6,62.4,1.3,11.2,13.8,19.8,0.4,42.7,47.5,67.2,0.7,35.5,50.0,63.3,1.4,5.7,1.9,0.5,1.4,1.9,0.9,0.7,22.9,83.4,1.6,7.3,29.3,53.9,1.7,5.6,22.5,58.2,1.6,8.1,37.0,79.2,0.5,4.0,44.6,119.4,3.4,1.8,5.0,10.0,0.9,2.8,6.0,13.0,0.5,3.4,8612,1
1013,22350,11165,11190,2255,2600,8085,5940,3470,190,50,0,10,10,20,13745,8525,2950,925,1345,1.6,12740,6850,210,120,1600,1540,470,1285,665,12580,30,70,6430,810,549,630,1680,2105,0.5,3.5,32.0,100.3,0.4,25.0,293.8,698.5,1.0,8.0,22.1,41.1,0.4,14.9,265.8,550.9,0.3,16.9,264.9,611.7,0.7,324.0,425.4,514.0,0.2,43.3,631.4,1495.1,0.6,3.9,26.0,84.4,0.4,4.9,51.1,169.8,2.2,2.9,2.2,2.2,4.0,6.0,13.9,61.8,1.2,10.0,13.0,20.3,1.0,37.8,47.0,66.9,0.7,28.9,43.6,64.2,1.0,7.3,3.2,2.2,1.1,1.7,0.7,1.7,12.6,51.0,0.9,4.2,13.6,49.6,1.3,3.5,12.1,54.8,0.9,5.2,17.3,74.9,0.6,2.5,25.1,76.2,4.8,0.9,5.0,10.5,2.7,1.9,6.0,14.1,0.7,4.8,6614,1
1014,3900,1985,1915,800,210,1710,885,295,65,60,10,10,10,10,1805,705,530,75,500,2.1,1815,20,5,100,-99997,20,185,-99997,1475,1640,50,50,160,135,839,60,2140,150,0.8,1.5,17.4,76.1,0.8,4.6,160.3,576.6,1.4,7.3,21.9,41.3,0.8,3.5,113.5,485.9,0.5,5.4,128.1,515.7,0.5,281.1,422.9,511.0,0.3,14.1,312.2,1240.1,0.4,4.1,21.0,68.2,0.4,3.7,39.1,135.3,2.4,2.3,2.6,2.6,4.4,5.0,13.7,60.7,1.7,8.8,12.9,19.2,1.5,32.3,46.9,67.0,0.7,23.8,42.5,62.9,1.3,8.2,3.8,3.0,1.7,2.2,0.4,2.7,11.0,41.4,1.1,3.2,8.2,48.4,1.8,3.7,8.5,53.7,0.9,4.7,11.5,73.4,0.5,1.2,18.2,57.9,5.0,0.2,4.9,10.9,3.3,1.1,5.9,13.9,0.5,5.0,3384,1
1015,14850,7415,7435,1145,1765,5255,4075,2615,95,50,10,10,20,20,9930,6515,2135,525,760,1.5,9980,7340,120,240,765,1075,335,85,15,9485,30,70,3480,1135,624,740,1710,1080,0.4,5.6,57.3,135.8,0.2,70.8,507.7,878.3,1.1,10.9,21.4,41.3,0.2,43.3,460.1,617.9,0.3,39.2,454.4,731.6,0.4,365.7,428.8,526.6,0.1,116.9,1131.5,1822.3,0.6,3.3,43.2,123.3,0.5,5.9,93.4,255.6,1.1,3.3,2.0,2.0,3.2,6.6,14.9,62.6,1.2,11.0,13.0,20.5,0.6,42.7,47.4,67.9,0.8,33.7,46.8,64.6,1.2,6.8,1.9,1.2,0.8,0.7,0.6,1.9,24.0,74.8,0.7,6.1,26.8,50.4,0.7,4.3,20.5,55.2,0.7,7.1,32.2,75.5,0.4,6.2,43.9,103.2,3.9,2.0,5.0,10.0,1.5,3.0,6.0,13.7,0.5,3.9,11140,1
1016,11275,5790,5490,760,1335,4465,2770,1950,85,50,10,10,20,20,7550,4925,1800,310,515,1.5,7735,5815,100,30,400,880,180,115,220,7380,30,70,1790,1120,705,760,1830,620,0.4,8.2,78.7,155.8,0.2,89.0,643.6,954.9,1.1,12.0,23.4,39.6,0.2,73.6,530.6,638.2,0.2,75.3,551.2,787.4,0.2,377.1,434.8,526.7,0.1,187.0,1420.0,1965.5,0.5,3.1,60.3,147.0,0.3,8.7,135.9,301.9,0.8,3.2,2.4,2.4,3.0,7.9,13.5,63.1,0.9,11.0,13.5,20.7,0.5,43.0,48.7,68.2,0.4,35.4,50.8,64.7,1.3,6.5,0.9,0.7,0.9,1.2,0.6,2.5,33.9,89.4,0.7,10.1,33.3,53.4,1.3,8.2,25.6,58.0,0.7,11.7,40.3,79.4,0.4,6.9,59.7,118.3,3.5,2.0,5.0,10.0,1.2,3.0,6.0,13.0,0.5,3.5,11518,1
1017,13420,7005,6415,1015,1915,5595,3090,1805,85,50,0,10,20,20,8625,5360,2210,300,755,1.6,8355,6690,170,100,315,505,395,150,30,7575,40,60,645,1445,815,870,2070,425,0.5,6.8,90.0,160.9,0.2,55.3,632.5,976.9,1.2,13.8,24.1,36.2,0.2,61.8,503.0,642.5,0.3,47.6,551.5,796.3,0.2,377.8,441.2,517.8,0.1,170.2,1420.0,1991.5,0.6,2.8,52.0,158.7,0.5,4.7,128.7,313.9,1.9,3.5,2.7,2.6,2.2,7.4,12.1,63.0,0.7,11.0,14.0,19.3,0.5,42.8,49.8,64.6,0.5,35.3,52.0,61.9,1.7,5.2,1.1,1.5,0.7,1.2,0.7,1.6,35.1,90.6,0.9,17.6,32.2,54.5,1.5,12.4,27.2,58.8,0.9,20.9,42.4,80.4,0.5,4.4,64.1,125.8,2.5,1.7,5.6,9.5,1.7,2.7,6.6,12.5,0.5,2.5,9605,1
1018,22430,11350,11080,1910,2805,8435,5480,3800,200,50,0,10,10,20,13805,8505,3200,760,1340,1.6,12270,5565,150,225,1295,3070,985,405,580,12055,30,70,5515,855,573,630,1800,1820,0.6,3.5,59.5,128.4,0.4,11.8,329.2,803.2,2.0,10.0,23.3,32.9,0.5,9.1,288.8,572.5,0.4,9.5,299.6,670.0,0.5,344.5,435.5,495.8,0.3,26.4,729.2,1689.6,0.5,2.4,42.5,113.5,0.5,3.8,74.0,213.0,1.8,4.1,2.3,1.7,1.4,6.1,11.8,61.3,1.6,10.4,14.0,18.1,0.8,43.0,47.5,61.3,1.3,31.7,48.6,57.5,1.7,3.7,2.5,2.0,1.4,2.1,0.7,1.4,24.8,64.9,1.4,8.6,25.1,53.8,1.4,7.8,24.3,57.5,1.4,11.2,36.5,78.5,0.6,2.2,44.0,100.8,2.0,1.0,5.3,9.0,2.0,2.0,6.3,12.1,0.7,2.0,7072,1
1019,20645,10380,10265,2545,2080,6960,6520,2535,190,50,0,10,10,20,10935,4990,3095,890,1960,1.9,9960,560,30,-99997,-99997,2330,4895,800,1340,9230,40,60,3185,390,630,290,2070,1235,1.0,1.9,27.2,80.3,0.7,5.4,108.3,480.5,1.2,7.2,21.3,31.7,0.7,2.3,66.0,392.2,0.5,3.3,79.6,427.3,0.7,223.7,422.7,486.0,0.3,7.2,183.8,1033.9,0.5,3.3,25.6,70.1,0.4,3.4,36.7,109.9,2.5,3.9,3.1,2.3,3.0,5.5,10.2,59.1,3.2,5.5,13.6,17.6,2.1,32.1,46.9,59.8,1.9,20.7,45.4,56.7,1.7,3.7,3.3,2.2,2.6,3.2,0.8,1.3,13.3,36.2,1.2,3.0,11.3,51.3,1.1,4.0,12.4,53.2,1.1,5.2,17.8,74.2,0.9,1.0,22.4,62.9,3.4,1.0,4.2,9.0,3.4,1.6,5.2,11.0,1.1,3.4,4378,1
1021,7045,3555,3490,940,875,2450,1850,925,75,40,0,20,10,30,3920,2205,785,435,495,1.8,3650,1695,50,-99997,1010,645,-99997,130,120,3570,20,80,2475,155,417,700,1630,1090,0.3,3.7,12.0,32.9,0.2,15.8,46.0,123.6,2.6,2.1,18.8,36.0,0.3,6.6,18.9,98.6,0.4,7.9,40.4,109.5,0.3,49.4,395.5,494.8,0.3,24.7,78.6,250.3,0.5,3.7,19.8,46.7,0.5,4.7,24.2,59.5,3.5,3.9,5.0,5.0,4.7,2.0,11.0,60.1,1.0,2.7,13.0,18.0,1.0,12.8,46.1,64.0,2.0,7.5,41.5,58.0,1.0,8.0,2.0,0.9,3.0,2.1,0.4,3.1,12.2,31.1,0.6,6.8,7.0,38.4,0.6,7.8,9.0,39.6,0.6,11.8,13.0,59.6,0.4,3.6,9.5,24.8,3.3,1.0,2.8,9.0,3.3,1.0,3.8,13.0,0.5,3.3,3123,1
